symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2021-02-16,2021-01-31,0.89,USD
AA,Alcoa Corp,2021-04-20,2021-03-31,,USD
AAIC,Arlington Asset Investment Corp,2021-02-16,2020-12-31,0.04,USD
AAL,American Airlines Group Inc,2021-01-28,2020-12-31,-4.1,USD
AAMC,Altisource Asset Management Corp,2021-02-26,2020-12-31,,USD
AAN,Aarons Company Inc (The),2021-02-18,2020-12-31,,USD
AAON,AAON Inc,2021-02-25,2020-12-31,0.29,USD
AAP,Advance Auto Parts Inc,2021-02-16,2020-12-31,1.96,USD
AAPL,Apple Inc,2021-01-27,2020-12-31,1.4,USD
AAT,American Assets Trust Inc,2021-02-09,2020-12-31,0.14,USD
AAWW,Atlas Air Worldwide Holdings Inc,2021-02-18,2020-12-31,3.51,USD
AAXN,Axon Enterprise Inc,2021-02-25,2020-12-31,0.35,USD
AB,AllianceBernstein Holding Lp,2021-02-10,2020-12-31,0.8,USD
ABBV,Abbvie Inc,2021-02-03,2020-12-31,2.86,USD
ABC,Amerisource Bergen Corp,2021-02-04,2020-12-31,1.94,USD
ABCB,Ameris Bancorp,2021-01-28,2020-12-31,1.17,USD
ABCB,Ameris Bancorp,2021-04-21,2021-03-31,,USD
ABG,Asbury Automotive Group Inc,2021-02-01,2020-12-31,4.11,USD
ABIO,ARCA biopharma Inc,2021-02-16,2020-12-31,,USD
ABM,ABM Industries Inc,2021-03-02,2021-01-31,0.59,USD
ABMD,Abiomed Inc,2021-01-28,2020-12-31,1.13,USD
ABR,Arbor Realty Trust Inc,2021-02-12,2020-12-31,0.42,USD
ABT,Abbott Laboratories,2021-01-27,2020-12-31,1.35,USD
ABT,Abbott Laboratories,2021-04-14,2021-03-31,,USD
ABTX,Allegiance Bancshares Inc,2021-01-28,2020-12-31,0.71,USD
ACA,Arcosa Inc,2021-02-24,2020-12-31,0.41,USD
ACAD,ACADIA Pharmaceuticals Inc,2021-02-24,2020-12-31,-0.47,USD
ACBI,Atlantic Capital Bancshares Inc,2021-04-21,2021-03-31,,USD
